string_value,total
10000_1,69
10000_10,27
10000_2,58
10000_3,39
10000_4,45
10000_5,44
10000_6,31
10000_7,33
10000_8,31
10000_9,31
10_1,39
10_10,51
10_11,50
10_12,45
10_13,46
10_14,45
10_15,45
10_16,46
10_17,45
10_18,46
10_19,46
10_2,41
10_20,46
10_21,46
10_22,47
10_23,46
10_24,47
10_25,48
10_26,48
10_27,48
10_28,47
10_29,45
10_3,45
10_30,48
10_31,45
10_32,46
10_33,46
10_34,45
10_35,44
10_36,46
10_37,48
10_38,48
10_39,44
10_4,46
10_40,46
10_41,44
10_42,47
10_43,43
10_44,45
10_45,44
10_46,43
10_47,46
10_48,43
10_49,48
10_5,43
10_50,45
10_51,44
10_52,47
10_53,43
10_54,46
10_55,45
10_56,45
10_57,44
10_58,45
10_59,46
10_6,44
10_60,47
10_7,44
10_8,45
10_9,45
11_1,45
11_10,44
11_11,44
11_12,50
11_13,43
11_14,44
11_15,45
11_16,44
11_17,43
11_18,47
11_19,43
11_2,43
11_20,43
11_21,44
11_22,44
11_23,46
11_24,45
11_25,50
11_26,44
11_27,47
11_28,42
11_29,50
11_3,43
11_30,43
11_31,43
11_32,43
11_33,44
11_34,46
11_35,44
11_36,42
11_37,44
11_38,44
11_39,50
11_4,43
11_40,42
11_41,42
11_42,45
11_43,39
11_44,39
11_45,39
11_46,42
11_47,41
11_48,46
11_49,41
11_5,41
11_50,43
11_51,39
11_52,42
11_53,49
11_54,39
11_55,43
11_56,41
11_57,40
11_58,46
11_59,40
11_6,42
11_60,45
11_7,43
11_8,44
11_9,43
12_1,41
12_10,40
12_11,40
12_12,37
12_13,40
12_14,37
12_15,37
12_16,41
12_17,37
12_18,37
12_19,36
12_2,41
12_20,38
12_21,39
12_22,39
12_23,40
12_24,41
12_25,39
12_26,43
12_27,40
12_28,39
12_29,40
12_3,40
12_30,42
12_31,41
12_32,41
12_33,42
12_34,43
12_35,38
12_36,41
12_37,44
12_38,40
12_39,40
12_4,39
12_40,40
12_41,44
12_42,40
12_43,48
12_44,44
12_45,46
12_46,44
12_47,48
12_48,44
12_49,43
