string_value,total
10000_1,18
10000_10,20
10000_2,20
10000_3,48
10000_4,16
10000_5,24
10000_6,36
10000_7,15
10000_8,8
10000_9,11
10_10,2
10_11,6
10_16,1
10_18,5
10_21,7
10_22,1
10_28,1
10_31,2
10_32,4
10_33,1
10_34,1
10_36,10
10_37,1
10_39,3
10_4,2
10_40,3
10_42,4
10_44,1
10_46,5
10_47,1
10_48,2
10_49,2
10_50,8
10_51,1
10_52,5
10_53,1
10_54,2
10_55,5
10_56,10
10_57,7
10_58,2
10_59,4
10_60,14
10_61,18
10_7,1
10_9,1
11_10,3
11_11,1
11_12,7
11_13,6
11_14,3
11_15,5
11_16,3
11_17,1
11_18,11
11_19,4
11_2,1
11_20,7
11_22,4
11_23,6
11_24,1
11_25,6
11_26,2
11_27,3
11_28,3
11_29,2
11_30,9
11_31,2
11_32,5
11_33,10
11_34,2
11_35,2
11_36,1
11_37,2
11_38,3
11_39,1
11_4,5
11_41,1
11_42,4
11_43,12
11_44,1
11_48,8
11_49,2
11_50,8
11_51,1
11_52,2
11_53,14
11_54,1
11_55,10
11_56,1
11_58,7
11_59,1
11_60,6
11_61,27
11_7,3
11_8,3
12_1,1
12_11,12
12_12,2
12_13,4
12_14,1
12_15,4
12_16,7
12_19,5
12_20,2
12_22,2
12_23,1
12_24,5
12_25,3
12_26,11
12_28,10
12_29,5
12_30,7
12_31,4
12_33,9
12_34,5
12_35,1
12_36,1
12_37,8
12_38,2
12_39,6
12_4,2
12_40,5
12_41,6
12_42,1
12_43,3
12_44,2
12_45,6
12_46,3
12_47,2
12_48,4
12_49,2
12_5,1
12_50,3
12_51,5
12_52,14
12_53,2
12_54,13
12_55,16
12_56,10
12_57,10
12_58,13
12_59,4
12_6,5
12_60,6
12_61,19
13_10,8
13_12,1
13_13,3
13_15,1
13_17,1
13_18,4
13_19,2
13_20,1
13_21,4
13_22,1
13_26,2
13_28,5
13_29,2
13_30,1
13_31,5
13_32,1
13_33,2
13_34,6
13_35,1
13_36,1
13_37,3
13_38,4
13_39,6
13_4,1
13_41,2
13_42,1
13_43,10
13_44,8
13_45,10
13_47,3
13_48,3
13_49,2
13_5,2
13_50,10
13_51,3
13_52,2
13_53,3
13_54,5
13_55,1
13_56,23
13_57,4
13_58,10
13_59,5
13_6,15
13_60,11
13_61,19
13_7,2
13_8,2
14_10,7
14_11,8
14_13,12
14_15,9
14_16,6
14_18,3
14_19,2
14_2,5
14_20,8
14_22,1
14_23,3
14_24,4
14_26,6
14_27,1
14_28,6
14_29,9
14_30,4
14_31,3
14_33,3
14_34,9
14_35,3
14_36,1
14_37,2
14_38,4
14_4,1
14_40,3
14_41,3
14_42,4
14_43,1
14_44,3
14_45,3
14_47,5
14_48,2
14_49,2
14_5,6
14_50,5
14_51,2
14_52,3
14_53,1
14_54,21
14_55,9
14_56,8
14_57,3
14_58,9
14_59,19
14_6,3
14_60,4
14_61,19
14_7,3
14_9,2
15_10,9
15_11,5
15_12,3
15_13,1
15_14,2
15_15,5
15_16,10
15_19,3
15_20,2
15_21,5
15_22,6
15_25,5
15_26,1
15_28,3
15_29,7
15_30,2
15_31,6
15_32,1
15_34,4
15_35,2
15_36,2
15_37,5
15_39,12
15_4,1
15_40,8
15_41,2
15_43,7
15_44,12
15_45,13
15_46,4
15_47,4
15_48,7
15_49,8
15_5,2
15_51,2
15_52,3
15_53,4
15_54,6
15_55,8
15_56,3
15_57,6
15_58,14
15_59,12
15_6,5
15_60,11
15_61,19
15_7,2
16_11,2
16_16,2
16_17,3
16_20,1
16_21,1
16_22,1
16_23,1
16_24,1
16_26,2
16_30,2
16_31,1
16_34,1
16_37,1
16_38,1
16_4,1
16_40,1
16_43,1
16_45,2
16_49,2
16_5,7
16_50,2
16_53,2
16_56,3
16_58,3
16_59,10
16_60,3
16_61,17
16_7,1
16_8,1
16_9,1
1_1,1
1_10,1
1_11,377
1_12,1
1_13,138
1_16,92
1_17,77
1_18,128
1_19,1
1_2,10
1_20,67
1_21,385
1_22,156
1_23,38
1_24,51
1_25,152
1_26,15
1_27,49
1_28,30
1_29,10
1_30,99
1_31,156
1_32,70
1_33,72
1_34,85
1_35,88
1_36,21
1_37,18
1_38,261
1_39,52
1_4,5
1_40,45
1_41,239
1_5,4
1_6,1
1_7,39
1_8,101
1_9,1
2_10,15
2_11,35
2_12,69
2_13,95
2_14,7
2_15,64
2_16,18
2_17,5
2_18,49
2_19,33
2_2,1
2_20,33
2_21,58
2_22,83
2_23,14
2_24,30
2_25,10
2_26,30
2_27,7
2_28,169
2_29,4
2_3,19
2_30,5
2_31,29
2_32,37
2_33,40
2_34,19
2_35,107
2_36,24
2_37,9
2_38,16
2_39,20
2_40,10
2_41,14
2_42,19
2_43,18
2_44,10
2_45,16
2_46,4
2_47,6
2_48,63
2_49,4
2_5,19
2_50,9
2_51,3
2_52,7
2_53,22
2_54,6
2_55,13
2_56,51
2_57,69
2_58,31
2_59,10
2_6,3
2_60,25
2_61,95
2_7,2
2_8,43
2_9,2
3_1,1
3_10,10
3_11,27
3_12,29
3_13,59
3_14,10
3_15,27
3_16,11
3_17,25
3_18,13
3_19,18
3_20,6
3_21,29
3_22,19
3_23,80
3_24,16
3_25,7
3_26,13
3_27,24
3_28,9
3_29,20
3_30,32
3_31,6
3_32,29
3_33,77
3_34,31
3_35,16
3_36,4
3_37,33
3_38,8
3_39,16
3_4,15
3_40,73
3_41,7
3_42,12
3_43,7
3_44,21
3_45,27
3_46,6
3_47,26
3_48,9
3_49,64
3_5,11
3_50,4
3_51,31
3_52,23
3_53,31
3_54,8
3_55,67
3_56,31
3_57,7
3_58,77
3_59,12
3_6,7
3_60,23
3_61,51
3_7,13
3_8,7
3_9,2
4_10,3
4_11,1
4_12,3
4_13,2
4_15,1
4_17,1
4_18,7
4_19,3
4_20,19
4_21,4
4_22,6
4_23,1
4_24,2
4_25,6
4_26,2
4_27,17
4_28,14
4_29,5
4_30,6
4_31,12
4_32,1
4_33,13
4_34,14
4_35,8
4_36,6
4_37,14
4_38,4
4_39,6
4_4,17
4_40,6
4_41,5
4_42,2
4_43,8
4_44,9
4_45,10
4_46,4
4_47,46
4_48,6
4_49,24
4_5,4
4_50,15
4_51,24
4_52,3
4_53,6
4_54,3
4_55,8
4_56,24
4_57,9
4_58,1
4_59,8
4_60,24
4_61,44
4_7,25
4_8,3
4_9,7
5_11,1
5_12,13
5_14,4
5_15,9
5_16,26
5_17,1
5_19,12
5_22,3
5_23,1
5_24,5
5_25,1
5_26,2
5_27,6
5_29,4
5_3,1
5_30,12
5_31,1
5_32,5
5_33,34
5_34,6
5_35,11
5_36,3
5_37,3
5_38,5
5_39,9
5_4,2
5_40,3
5_41,3
5_42,9
5_43,8
5_44,6
5_45,4
5_46,15
5_47,6
5_48,2
5_49,12
5_5,10
5_50,17
5_51,3
5_52,13
5_53,10
5_54,22
5_55,4
5_56,10
5_57,84
5_58,10
5_59,11
5_60,5
5_61,34
5_7,3
5_8,4
5_9,5
6_10,13
6_11,7
6_12,2
6_14,12
6_15,15
6_17,2
6_18,3
6_19,5
6_20,4
6_23,20
6_24,2
6_25,3
6_26,2
6_27,2
6_28,20
6_29,4
6_3,14
6_30,5
6_31,1
6_32,9
6_33,4
6_34,1
6_35,1
6_36,9
6_37,12
6_39,7
6_40,3
6_41,2
6_42,6
6_43,8
6_44,4
6_45,16
6_46,6
6_47,2
6_48,6
6_49,2
6_5,1
6_50,2
6_51,5
6_52,8
6_53,6
6_54,5
6_55,4
6_56,7
6_57,20
6_58,8
6_59,4
6_60,12
6_61,29
6_7,2
6_8,1
6_9,2
7_11,12
7_13,7
7_14,6
7_15,7
7_16,6
7_18,6
7_21,3
7_22,1
7_23,6
7_24,1
7_25,4
7_27,2
7_29,2
7_3,1
7_30,3
7_31,9
7_32,4
7_33,5
7_34,1
7_35,10
7_37,11
7_39,1
7_42,13
7_43,8
7_44,1
7_45,1
7_46,4
7_47,1
7_48,5
7_49,1
7_5,2
7_50,7
7_51,6
7_52,5
7_53,1
7_54,8
7_55,1
7_56,3
7_57,11
7_58,7
7_59,4
7_60,15
7_61,19
7_7,3
8_10,4
8_12,2
8_13,7
8_14,1
8_15,1
8_16,2
8_17,2
8_18,1
8_19,11
8_20,4
8_22,9
8_25,8
8_26,2
8_27,1
8_28,4
8_29,2
8_3,2
8_30,19
8_31,16
8_32,5
8_34,3
8_35,7
8_36,5
8_37,9
8_38,4
8_39,5
8_4,6
8_40,7
8_41,4
8_42,25
8_44,13
8_45,3
8_46,5
8_47,2
8_48,8
8_49,2
8_50,5
8_51,4
8_52,18
8_53,3
8_54,6
8_55,6
8_56,6
8_57,18
8_58,5
8_59,5
8_60,26
8_61,14
8_7,1
8_8,1
8_9,6
9000_1,2
9000_10,1
9000_11,2
9000_12,2
9000_13,6
9000_14,19
9000_17,11
9000_18,9
9000_19,11
9000_2,1
9000_3,3
9000_5,10
9000_7,3
9000_8,8
9001_15,1
9_10,2
9_11,1
9_14,2
9_15,3
9_18,12
9_19,8
9_20,2
9_23,4
9_24,4
9_25,6
9_26,1
9_27,3
9_29,1
9_32,1
9_33,3
9_34,8
9_36,13
9_38,5
9_39,3
9_4,4
9_41,1
9_42,5
9_43,1
9_44,9
9_45,4
9_46,2
9_47,5
9_48,1
9_49,2
9_50,1
9_51,18
9_52,5
9_53,5
9_54,11
9_55,14
9_56,4
9_57,3
