string_value,total
10000_1,44
10000_10,96
10000_2,52
10000_3,209
10000_4,32
10000_5,65
10000_6,182
10000_7,36
10000_8,23
10000_9,24
10_10,3
10_11,7
10_16,2
10_18,10
10_21,9
10_22,1
10_28,2
10_31,2
10_32,6
10_33,2
10_34,1
10_36,12
10_37,1
10_39,3
10_4,2
10_40,4
10_42,7
10_44,3
10_46,10
10_47,3
10_48,2
10_49,5
10_50,12
10_51,1
10_52,7
10_53,2
10_54,2
10_55,9
10_56,17
10_57,12
10_58,4
10_59,16
10_60,34
10_61,296
10_7,1
10_9,2
11_10,3
11_11,3
11_12,12
11_13,16
11_14,4
11_15,7
11_16,4
11_17,1
11_18,19
11_19,10
11_2,1
11_20,10
11_22,5
11_23,10
11_24,1
11_25,7
11_26,3
11_27,4
11_28,14
11_29,3
11_30,15
11_31,7
11_32,11
11_33,18
11_34,3
11_35,2
11_36,2
11_37,3
11_38,5
11_39,1
11_4,7
11_41,2
11_42,8
11_43,16
11_44,1
11_48,9
11_49,2
11_50,12
11_51,2
11_52,3
11_53,46
11_54,1
11_55,21
11_56,2
11_58,14
11_59,1
11_60,15
11_61,218
11_7,5
11_8,7
12_1,2
12_11,22
12_12,3
12_13,5
12_14,2
12_15,8
12_16,14
12_19,9
12_20,3
12_22,3
12_23,1
12_24,8
12_25,5
12_26,26
12_28,19
12_29,10
12_30,20
12_31,6
12_33,27
12_34,6
12_35,2
12_36,2
12_37,17
12_38,4
12_39,7
12_4,2
12_40,7
12_41,14
12_42,6
12_43,12
12_44,2
12_45,14
12_46,5
12_47,7
12_48,8
12_49,2
12_5,2
12_50,5
12_51,14
12_52,49
12_53,5
12_54,21
12_55,48
12_56,30
12_57,21
12_58,33
12_59,6
12_6,10
12_60,12
12_61,273
13_10,21
13_12,1
13_13,4
13_15,1
13_17,1
13_18,7
13_19,2
13_20,2
13_21,16
13_22,1
13_26,6
13_28,12
13_29,11
13_30,2
13_31,12
13_32,1
13_33,3
13_34,17
13_35,1
13_36,1
13_37,4
13_38,10
13_39,19
13_4,1
13_41,5
13_42,2
13_43,12
13_44,11
13_45,20
13_47,6
13_48,6
13_49,6
13_5,4
13_50,14
13_51,4
13_52,2
13_53,4
13_54,12
13_55,2
13_56,71
13_57,9
13_58,13
13_59,8
13_6,36
13_60,24
13_61,103
13_7,3
13_8,4
14_10,10
14_11,12
14_13,32
14_15,19
14_16,15
14_18,5
14_19,3
14_2,10
14_20,14
14_22,4
14_23,3
14_24,13
14_26,14
14_27,2
14_28,16
14_29,20
14_30,8
14_31,6
14_33,5
14_34,15
14_35,5
14_36,1
14_37,2
14_38,10
14_4,2
14_40,5
14_41,6
14_42,7
14_43,4
14_44,4
14_45,4
14_47,10
14_48,3
14_49,3
14_5,15
14_50,7
14_51,5
14_52,7
14_53,2
14_54,45
14_55,19
14_56,20
14_57,4
14_58,17
14_59,44
14_6,4
14_60,4
14_61,105
14_7,5
14_9,5
15_10,14
15_11,12
15_12,5
15_13,4
15_14,3
15_15,6
15_16,23
15_19,4
15_20,4
15_21,11
15_22,11
15_25,6
15_26,1
15_28,4
15_29,12
15_30,8
15_31,8
15_32,2
15_34,6
15_35,2
15_36,2
15_37,16
15_39,25
15_4,1
15_40,18
15_41,4
15_43,12
15_44,34
15_45,50
15_46,8
15_47,7
15_48,12
15_49,17
15_5,3
15_51,2
15_52,4
15_53,9
15_54,8
15_55,17
15_56,4
15_57,8
15_58,36
15_59,19
15_6,7
15_60,55
15_61,191
15_7,3
16_11,2
16_16,3
16_17,5
16_20,1
16_21,1
16_22,4
16_23,2
16_24,2
16_26,3
16_30,3
16_31,2
16_34,1
16_37,1
16_38,1
16_4,2
16_40,2
16_43,1
16_45,5
16_49,2
16_5,16
16_50,5
16_53,3
16_56,6
16_58,3
16_59,28
16_60,9
16_61,92
16_7,1
16_8,1
16_9,2
1_1,2
1_10,2
1_11,1105
1_12,2
1_13,267
1_16,171
1_17,160
1_18,246
1_19,1
1_2,15
1_20,129
1_21,1351
1_22,473
